timestamp,game,action,bet_size,odds,outcome,pnl,cumulative_pnl,bankroll
2026-01-01,Lakers vs Celtics,BUY_HOME,100.0,1.95,WIN,95.0,95.0,10095.0
2026-01-02,Warriors vs Heat,BUY_HOME,100.0,1.8,WIN,80.0,175.0,10175.0
2026-01-03,Bucks vs Nets,BUY_HOME,100.0,1.65,WIN,65.0,240.0,10240.0
2026-01-04,Nuggets vs Suns,BUY_HOME,100.0,2.1,LOSS,-100.0,140.0,10140.0
2026-01-05,76ers vs Knicks,BUY_HOME,100.0,1.9,WIN,90.0,230.0,10230.0
2026-01-06,Celtics vs Heat,BUY_HOME,100.0,1.7,WIN,70.0,300.0,10300.0
2026-01-07,Lakers vs Warriors,BUY_HOME,100.0,2.15,LOSS,-100.0,200.0,10200.0
2026-01-08,Nets vs Bucks,BUY_HOME,100.0,2.4,LOSS,-100.0,100.0,10100.0
2026-01-09,Suns vs 76ers,BUY_HOME,100.0,1.95,WIN,95.0,195.0,10195.0
2026-01-10,Knicks vs Nuggets,BUY_HOME,100.0,2.25,LOSS,-100.0,95.0,10095.0
2026-01-11,Heat vs Lakers,BUY_HOME,100.0,2.05,WIN,105.0,200.0,10200.0
2026-01-12,Warriors vs Celtics,BUY_HOME,100.0,2.0,LOSS,-100.0,100.0,10100.0
2026-01-13,Bucks vs Suns,BUY_HOME,100.0,1.75,WIN,75.0,175.0,10175.0
2026-01-14,76ers vs Nets,BUY_HOME,100.0,1.85,LOSS,-100.0,75.0,10075.0
2026-01-15,Nuggets vs Knicks,BUY_HOME,100.0,1.7,WIN,70.0,145.0,10145.0
2026-01-16,Celtics vs Warriors,BUY_HOME,100.0,1.88,WIN,88.0,233.0,10233.0
2026-01-17,Heat vs Bucks,BUY_HOME,100.0,2.3,LOSS,-100.0,133.0,10133.0
2026-01-18,Lakers vs 76ers,BUY_HOME,100.0,1.92,WIN,92.0,225.0,10225.0
2026-01-19,Suns vs Nets,BUY_HOME,100.0,1.78,WIN,78.0,303.0,10303.0
2026-01-20,Knicks vs Celtics,BUY_HOME,100.0,2.2,LOSS,-100.0,203.0,10203.0
2026-01-21,Warriors vs Nuggets,BUY_HOME,100.0,2.05,WIN,105.0,308.0,10308.0
2026-01-22,Bucks vs Lakers,BUY_HOME,100.0,1.82,WIN,82.0,390.0,10390.0
2026-01-23,Heat vs Suns,BUY_HOME,100.0,2.1,LOSS,-100.0,290.0,10290.0
2026-01-24,Nets vs Knicks,BUY_HOME,100.0,2.15,WIN,115.0,405.0,10405.0
2026-01-25,76ers vs Warriors,BUY_HOME,100.0,2.0,LOSS,-100.0,305.0,10305.0
